patient_id,full_name,document_id,F,contact_email,registration_date,age,sex,clinical_notes,checksum_fasta,file_size_bytes,fasta_path,active
P-1757046169982,Juan Perez,CC12345,,,2025-09-04T23:22:50.0189577,30,M,,,,,true
P-1757048992953,luis,12,2,defe,2025-09-05T00:09:52.9700521,12,M,teiopktge,,,,true
P-1757116722971,luis,1231241,DD001,gikg,2025-09-05T18:58:42.9728337,12,M,hola,,,,true
P-1757117557727,luis,123134,DD01,ierjifje,2025-09-05T19:12:37.7410153,12,M,SE ESTA MRUEINDP,23503b052711b4a959c6baca83d8151ce8600e531034ee3bc3f789c6f560de26,38,src\main\disease_db\FASTAS\patient_P-1757117557727.fasta,true
P-1757118087987,LUIS,123141,DD001,EFWEFGE@GMIAOL,2025-09-05T19:21:27.9871403,12,M,NOSE,d7e1ebbfda1e700dce8e3c0e744587123b4c0b036c997869dc4ab7914a113f1f,38,src\main\disease_db\FASTAS\patient_P-1757118087987.fasta,true
P-1757118344702,LUIS,123,DD001,DEDWEF,2025-09-05T19:25:44.7123954,14,M,HOLA,8eaba51481caf205dc4e52a486ed7c90d870649520792e3e06adab304d529ddd,38,src\main\disease_db\FASTAS\patient_P-1757118344702.fasta,true
P-1757118772805,luis,12314,DD001,cee,2025-09-05T19:32:52.8199121,12,M,HOLA,590de0a10b86aeda62079500257f36734f82eb0e3c5f62616c111821462a1671,38,src\main\disease_db\FASTAS\patient_P-1757118772805.fasta,true
P-1757119481788,luis,123123,DD001,cedfe,2025-09-05T19:44:41.8044319,1,M,EKFE,db1f4f806fc15e623967d8920508c4c5283d76918f92d3437b8bd244dcbabc79,38,src\main\disease_db\FASTAS\patient_P-1757119481788.fasta,true
P-1757119512580,POTA,124145,DD001,DFNMEOIFGNWEOIFJ,2025-09-05T19:45:12.5806662,12,F,GNEJ,b54d475b7b43bb380372038557ee86c3422871899c6a93b585f0ef88d51dc7d4,41,src\main\disease_db\FASTAS\patient_P-1757119512580.fasta,true
P-1757119715994,OHLA,9876,D001,PSOSOSOSOSOSOOS,2025-09-05T19:48:36.0106824,99,M,SE SALVO,6e527fad276ab96efaa9a510e2d3081ead8d9ab1c2e9b19e9b379bdad0f6baf5,47,src\main\disease_db\FASTAS\patient_P-1757119715994.fasta,true
